Datetime,Open,High,Low,Close,Volume
2024-10-17 21:00:00,1.08255,1.08316,1.0824,1.08244,1997
2024-10-17 22:00:00,1.08245,1.08281,1.0823,1.08274,1819
2024-10-17 23:00:00,1.08275,1.08307,1.08262,1.08262,1133
2024-10-18 00:00:00,1.08264,1.08317,1.08256,1.08311,711
2024-10-18 01:00:00,1.0831,1.08328,1.08285,1.08288,564
2024-10-18 02:00:00,1.08287,1.08296,1.08249,1.08286,589
2024-10-18 03:00:00,1.08287,1.08319,1.08269,1.08284,2191
2024-10-18 04:00:00,1.08283,1.08358,1.0827,1.08347,2557
2024-10-18 05:00:00,1.08346,1.08392,1.08328,1.08384,1790
2024-10-18 06:00:00,1.08382,1.08392,1.08366,1.08382,1758
2024-10-18 07:00:00,1.08383,1.08401,1.08377,1.08401,834
2024-10-18 08:00:00,1.08402,1.08437,1.0838,1.08423,1766
2024-10-18 09:00:00,1.08419,1.08482,1.08376,1.08438,3539
2024-10-18 10:00:00,1.08437,1.08437,1.08365,1.08406,3677
2024-10-18 11:00:00,1.08407,1.08464,1.08341,1.08374,2937
2024-10-18 12:00:00,1.08373,1.08452,1.08337,1.08439,2839
2024-10-18 13:00:00,1.0844,1.08484,1.08376,1.08446,2380
2024-10-18 14:00:00,1.08449,1.08515,1.08414,1.08478,2612
2024-10-18 15:00:00,1.08476,1.08596,1.0846,1.08589,3653
2024-10-18 16:00:00,1.08588,1.08628,1.08507,1.08564,3865
2024-10-18 17:00:00,1.08566,1.08641,1.08545,1.08567,4162
2024-10-18 18:00:00,1.08566,1.08598,1.08525,1.08531,2983
2024-10-18 19:00:00,1.08529,1.08677,1.08524,1.08662,2037
2024-10-18 20:00:00,1.08659,1.08659,1.08585,1.08613,1962
2024-10-18 21:00:00,1.08614,1.08676,1.08611,1.08649,2000
2024-10-18 22:00:00,1.08648,1.08654,1.08618,1.08631,2475
2024-10-18 23:00:00,1.0863,1.0869,1.08625,1.08659,1377
2024-10-21 00:00:00,1.08605,1.08661,1.08592,1.0865,371
2024-10-21 01:00:00,1.08649,1.08714,1.08647,1.08689,999
2024-10-21 02:00:00,1.0869,1.08693,1.08647,1.08678,1274
2024-10-21 03:00:00,1.08679,1.08685,1.08635,1.08644,2015
2024-10-21 04:00:00,1.08643,1.08677,1.08632,1.08646,2610
2024-10-21 05:00:00,1.08647,1.08669,1.08636,1.08639,2187
2024-10-21 06:00:00,1.0864,1.08674,1.0864,1.08657,1707
2024-10-21 07:00:00,1.08658,1.08658,1.08579,1.08585,1220
2024-10-21 08:00:00,1.08584,1.0863,1.08582,1.08592,1816
2024-10-21 09:00:00,1.08591,1.08591,1.08491,1.08518,2561
2024-10-21 10:00:00,1.08519,1.08567,1.08458,1.08477,2904
2024-10-21 11:00:00,1.08478,1.08574,1.08477,1.08548,2406
2024-10-21 12:00:00,1.08547,1.08578,1.08459,1.08459,2442
2024-10-21 13:00:00,1.08458,1.08489,1.08441,1.08469,2345
2024-10-21 14:00:00,1.08471,1.08559,1.08462,1.08553,2237
2024-10-21 15:00:00,1.08552,1.08586,1.08507,1.08569,3226
2024-10-21 16:00:00,1.08567,1.08575,1.08434,1.0847,3534
2024-10-21 17:00:00,1.08471,1.08483,1.08327,1.08343,4137
2024-10-21 18:00:00,1.08342,1.08345,1.08194,1.08195,3700
2024-10-21 19:00:00,1.08194,1.08224,1.08166,1.08181,2380
2024-10-21 20:00:00,1.08182,1.08225,1.0815,1.08156,2202
2024-10-21 21:00:00,1.08155,1.08168,1.08105,1.08112,2167
2024-10-21 22:00:00,1.08111,1.08149,1.08106,1.08147,1751
2024-10-21 23:00:00,1.08143,1.08164,1.08118,1.08121,1633
2024-10-22 00:00:00,1.08123,1.08171,1.08121,1.08155,1018
2024-10-22 01:00:00,1.08156,1.08173,1.08148,1.0815,847
2024-10-22 02:00:00,1.08151,1.08162,1.08136,1.08148,1087
2024-10-22 03:00:00,1.0815,1.08179,1.08138,1.08157,1988
2024-10-22 04:00:00,1.08158,1.08203,1.08156,1.08185,2392
2024-10-22 05:00:00,1.08186,1.08209,1.08146,1.08152,1886
2024-10-22 06:00:00,1.08151,1.08187,1.08145,1.08187,1543
2024-10-22 07:00:00,1.08186,1.08204,1.08176,1.08198,1451
2024-10-22 08:00:00,1.08199,1.08232,1.08183,1.08184,2014
